88,N,0,0,40,0.0,0.009801,0.00049501666666666667,0.029701000000000002,2392,95680
89,.,0,0,40,0.0,0.00970299,0.00065673316666666664,0.03940399,2431,97240
90,.,0,0,40,0.0,0.0096059601,0.00081683250166666662,0.049009950099999998,2471,98840
91,.,0,0,40,0.0,0.009509900499,0.00097533084331666666,0.058519850599000001,2511,100440
92,.,0,0,40,0.0,0.00941480149401,0.0011322442015501667,0.067934652093010001,2551,102040
93,W,0,0,40,0.0,0.0093206534790699,0.0012875884262013317,0.077255305572079908,2591,103640
94,A,0,0,40,0.0,0.0092274469442792,0.0014413792086059851,0.086482752516359104,2591,103640
95,B,40,0,0,1.0,0.01913517247483641,0.0017602987498532587,0.10561792499119552,2591,103640
96,C,0,0,40,0.0,0.018943820750088044,0.0020760290956880595,0.12456174574128356,2631,105240
97,M,0,0,40,0.0,0.018754382542587163,0.0023886021380645122,0.14331612828387072,2631,105240
98,N,0,0,40,0.0,0.01856683871716129,0.0026980494500171998,0.161882967001032,2631,105240
99,.,0,0,40,0.0,0.018381170329989677,0.0030044022888503614,0.18026413733102167,2667,106680
100,.,0,0,40,0.0,0.01819735862668978,0.0033076915992951909,0.19846149595771145,2707,108280
101,.,0,0,40,0.0,0.018015385040422882,0.0036079480166355724,0.21647688099813434,2747,109880
102,.,0,0,40,0.0,0.017835231190018654,0.0039052018698025495,0.23431211218815298,2787,111480
103,X,0,0,40,0.0,0.017656878878118468,0.0041994831844378577,0.25196899106627146,2827,113080
104,A,0,0,40,0.0,0.017480310089337283,0.0044908216859268118,0.26944930115560872,2827,113080
105,B,40,0,0,1.0,0.02730550698844391,0.0049459134690675441,0.29675480814405264,2827,113080
106,C,0,0,40,0.0,0.02703245191855947,0.0053964543343768684,0.3237872600626121,2827,113080
107,D,0,0,40,0.0,0.026762127399373874,0.0058424897910331003,0.350549387461986,2827,113080
108,E,0,0,40,0.0,0.026494506125380134,0.0062840648931227682,0.37704389358736612,2827,113080
109,.,0,0,40,0.0,0.02622956106412633,0.0067212242441915407,0.40327345465149245,2864,114560
110,.,0,0,40,0.0,0.02596726545348507,0.007154012001749626,0.42924072010497755,2904,116160
111,.,0,0,40,0.0,0.025707592798950216,0.0075824718817321295,0.45494831290392779,2944,117760
112,.,0,0,40,0.0,0.025450516870960713,0.0080066471629148071,0.48039882977488846,2984,119360
113,X,0,0,40,0.0,0.025196011702251105,0.0084265806912856584,0.50559484147713951,3024,120960
114,A,0,0,40,0.0,0.024944051585228593,0.0088423148843728046,0.53053889306236823,3024,120960
115,B,40,0,0,1.0,0.03469461106937631,0.0094205584021957427,0.56523350413174456,3024,120960
116,C,0,0,40,0.0,0.03434766495868255,0.0099930194848404496,0.59958116909042702,3024,120960
117,D,0,0,40,0.0,0.034004188309095726,0.010559755956658713,0.63358535739952282,3024,120960
118,E,0,0,40,0.0,0.033664146426004765,0.011120825063758792,0.6672495038255275,3024,120960
